mu,kappa,mean_income,median_income,mean_CE,mean_RP,share_storing,mean_s
0.5000000000000001,0.95,0.6831101652705399,0.6836000566340525,0.67236760279593,0.010742562474609871,0.512,0.2817425934314243
0.5500000000000002,0.75,0.6516616654955472,0.6516616654955469,0.6402900197033752,0.011371645792171753,0.0,0.0
0.5500000000000002,0.8,0.6516465524911887,0.6516531724962877,0.6402618266854583,0.011384725805730635,0.006,0.0005879607675722048
0.5500000000000002,0.85,0.6517156147595551,0.6517153551588374,0.6403551004937771,0.01136051426577799,0.034,0.013189777505061784
0.5500000000000002,0.9,0.6534962826242825,0.6536028893046972,0.6427727908424269,0.010723491781855556,0.25,0.0894167865351521
0.5500000000000002,0.95,0.659539940570349,0.6596008502416583,0.6491629316606833,0.010377008909665711,0.436,0.26308162647079036
0.6000000000000002,0.75,0.6266836554878497,0.6266836554878494,0.6153637838422501,0.011319871645599278,0.0,0.0
0.6000000000000002,0.8,0.6266836554878497,0.6266836554878494,0.6153637838422501,0.011319871645599278,0.0,0.0
0.6000000000000002,0.85,0.6267724865187543,0.626786927308483,0.6154712018946605,0.011301284624093627,0.034,0.009715565129349462
0.6000000000000002,0.9,0.6294530421679252,0.6293680837931289,0.6184763862247667,0.010976655943158364,0.262,0.1285686316627299
0.6000000000000002,0.95,0.6378304168301505,0.6378377545258658,0.6276624359502554,0.010167980879895091,0.428,0.3031784332274659
0.6500000000000001,0.75,0.6109565955152607,0.6109565955152606,0.6015054000173413,0.009451195497919188,0.0,0.0
0.6500000000000001,0.8,0.6109565955152607,0.6109565955152606,0.6015054000173413,0.009451195497919188,0.0,0.0
0.6500000000000001,0.85,0.6109545843390927,0.6109691809327156,0.6015174858638158,0.009437098475276778,0.062,0.003446890341496833
0.6500000000000001,0.9,0.6120569202600443,0.6120072183255523,0.6029027852092745,0.009154135050769792,0.146,0.07478306109562477
0.6500000000000001,0.95,0.6169826644902275,0.6172389865248398,0.6085495755487443,0.00843308894148299,0.346,0.2239742817802442
0.7000000000000002,0.75,0.5912633325340692,0.591263332534069,0.5822334526422503,0.00902987989181863,0.0,0.0
0.7000000000000002,0.8,0.5912633325340692,0.591263332534069,0.5822334526422503,0.00902987989181863,0.0,0.0
0.7000000000000002,0.85,0.5911832166031268,0.5912174361623592,0.5821140171110257,0.009069199492101113,0.03,0.0024616540461247756
0.7000000000000002,0.9,0.5919132150754883,0.5920181300766496,0.5828367380820233,0.009076476993464831,0.148,0.06255589533441226
0.7000000000000002,0.95,0.5991724363093947,0.5991551382093615,0.590740513390374,0.008431922919020694,0.534,0.2786373885802756
